"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
227,9/30/2025 0:00:00,121,0,0,0,0,0,0,3074041740,0,0,0,0,0,0,0,7451001806,0,0,0,0,0,0,0,0,0,48845950,0,0,0,0,135891422,0,0,392109837,11053044805,0,0,0,0,0,422,5,0,0,0,0,3,0,23,5,37,5,42,385,0,2,0,385,427,33471,41334,4,0,0,0,0,0,53549
233,9/30/2025 0:00:00,124,0,0,0,0,0,0,1715564,0,0,0,0,0,0,0,34242189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628524,0,0,0,39223277,0,0,0,0,1637000,0,13,0,0,0,0,0,0,0,0,0,13,13,0,0,0,13,0,13,561,239,0,0,0,0,0,0,220
234,9/30/2025 0:00:00,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4379592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4379592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,34,0,0,0,0,0,0,91
240,9/30/2025 0:00:00,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7873270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8411913,0,0,0,0,538643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,386,0,0,0,0,0,0,76
242,9/30/2025 0:00:00,129,0,0,0,0,0,0,653420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1384380,3988540,0,0,0,0,1950740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,107,0,0,0,0,0,0,810
256,9/30/2025 0:00:00,136,0,0,0,0,0,0,8892191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3372808,0,0,299539,14477121,0,0,0,0,1912583,42,40,0,0,0,0,5,0,14,29,42,40,82,0,0,20,0,0,82,239,298,0,0,0,11,0,11,193
258,9/30/2025 0:00:00,137,0,0,0,0,0,0,809577,0,0,0,0,0,0,0,45042839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96415,0,0,1691963,47691119,0,0,0,0,50325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,128,0,0,0,0,0,0,474
262,9/30/2025 0:00:00,139,0,0,0,0,0,0,2777344,0,0,0,0,0,0,0,2026513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1315646,0,0,0,6878927,0,0,0,0,759424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,95,0,0,0,0,0,0,50
266,9/30/2025 0:00:00,143,0,0,0,0,0,0,14321715,0,0,0,0,0,0,0,15667648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2871756,0,0,0,33303339,0,0,0,0,442220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,473,0,0,0,0,0,0,16
274,9/30/2025 0:00:00,149,0,0,0,0,0,0,4611557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96226,0,0,0,0,0,0,0,1231677,5843234,0,0,0,0,0,40,0,0,0,0,0,2,0,10,0,12,0,12,28,0,0,0,28,40,139,238,5,0,0,0,0,0,753
